Filename,Sample_ID,Slide_Type,Magnification,Crystal_Count,Total_Volume_Imaged_mL,Concentration_Crystals_per_mL
Neubauer_10x_Sample2.PNG,Sample2,Neubauer,10x,1910,0.0001,19100000.0
Neubauer_10x_Sample3.PNG,Sample3,Neubauer,10x,1195,0.0001,11950000.0
Neubauer_10x_Sample1.PNG,Sample1,Neubauer,10x,933,0.0001,9330000.0
Neubauer_10x_Sample4.PNG,Sample4,Neubauer,10x,773,0.0001,7730000.0
Neubauer_10x_Sample5.PNG,Sample5,Neubauer,10x,609,0.0001,6090000.0
Neubauer_10x_Sample7.PNG,Sample7,Neubauer,10x,1346,0.0001,13460000.0
Neubauer_10x_AvaSample4-2.PNG,AvaSample4-2,Neubauer,10x,1902,0.0001,19020000.0
Neubauer_10x_Sample17.PNG,Sample17,Neubauer,10x,104,0.0001,1040000.0
Neubauer_10x_AvaSample2-4.PNG,AvaSample2-4,Neubauer,10x,2644,0.0001,26440000.0
Neubauer_10x_Sample16.PNG,Sample16,Neubauer,10x,1298,0.0001,12980000.0
Neubauer_10x_AvaSample4-3.PNG,AvaSample4-3,Neubauer,10x,1704,0.0001,17040000.0
Neubauer_10x_AvaSample4-1.PNG,AvaSample4-1,Neubauer,10x,1718,0.0001,17180000.0
Neubauer_10x_Sample8.PNG,Sample8,Neubauer,10x,61,0.0001,610000.0
Neubauer_10x_Sample14.PNG,Sample14,Neubauer,10x,4388,0.0001,43880000.0
Neubauer_10x_Sample15.PNG,Sample15,Neubauer,10x,4178,0.0001,41780000.0
Neubauer_10x_Sample9.PNG,Sample9,Neubauer,10x,5025,0.0001,50250000.0
Neubauer_10x_AvaSample4-4.PNG,AvaSample4-4,Neubauer,10x,1234,0.0001,12340000.0
Neubauer_10x_Sample11.PNG,Sample11,Neubauer,10x,3712,0.0001,37120000.0
Neubauer_10x_AvaSample2-2.PNG,AvaSample2-2,Neubauer,10x,3665,0.0001,36650000.0
Neubauer_10x_AvaSample2-3.PNG,AvaSample2-3,Neubauer,10x,3708,0.0001,37080000.0
Neubauer_10x_Sample10.PNG,Sample10,Neubauer,10x,2652,0.0001,26520000.0
Neubauer_10x_Sample12.PNG,Sample12,Neubauer,10x,3259,0.0001,32590000.0
Neubauer_10x_AvaSample2-1.PNG,AvaSample2-1,Neubauer,10x,4030,0.0001,40300000.0
Neubauer_10x_Sample13.PNG,Sample13,Neubauer,10x,237,0.0001,2370000.0
Neubauer_10x_AvaSample5-1.PNG,AvaSample5-1,Neubauer,10x,1033,0.0001,10330000.0
Neubauer_10x_AvaSample1-4.PNG,AvaSample1-4,Neubauer,10x,951,0.0001,9510000.0
Neubauer_10x_AvaSample3-4.PNG,AvaSample3-4,Neubauer,10x,1369,0.0001,13690000.0
Neubauer_10x_AvaSample5-2.PNG,AvaSample5-2,Neubauer,10x,1048,0.0001,10480000.0
Neubauer_10x_AvaSample5-3.PNG,AvaSample5-3,Neubauer,10x,704,0.0001,7040000.0
Neubauer_10x_AvaSample3-1.PNG,AvaSample3-1,Neubauer,10x,1598,0.0001,15980000.0
Neubauer_10x_AvaSample1-3.PNG,AvaSample1-3,Neubauer,10x,841,0.0001,8410000.0
Neubauer_10x_AvaSample1-2.PNG,AvaSample1-2,Neubauer,10x,1018,0.0001,10180000.0
Neubauer_10x_AvaSample3-2.PNG,AvaSample3-2,Neubauer,10x,1309,0.0001,13090000.0
Neubauer_10x_AvaSample5-4.PNG,AvaSample5-4,Neubauer,10x,1210,0.0001,12100000.0
Neubauer_10x_AvaSample5-5.PNG,AvaSample5-5,Neubauer,10x,1555,0.0001,15550000.0
Neubauer_10x_AvaSample1-1.PNG,AvaSample1-1,Neubauer,10x,643,0.0001,6430000.0
Neubauer_10x_AvaSample3-3.PNG,AvaSample3-3,Neubauer,10x,1196,0.0001,11960000.0
