slice,feature,importance
slice0,slice0_original_glcm_Imc1,0.013215829967748944
slice0,slice0_original_glcm_Imc2,0.010953729985802556
slice0,slice0_original_glrlm_RunEntropy,0.007775514471027982
slice0,slice0_original_gldm_LargeDependenceHighGrayLevelEmphasis,0.007258987137677332
slice0,slice0_original_shape2D_PixelSurface,0.006296938338347035
slice0,slice0_original_glszm_GrayLevelNonUniformity,0.004841355387944201
slice0,slice0_original_glcm_Correlation,0.004314549301298222
slice0,slice0_original_glszm_ZoneEntropy,0.004055446949580982
slice0,slice0_original_glszm_SizeZoneNonUniformity,0.0038183108477570405
slice0,slice0_original_shape2D_MajorAxisLength,0.0036741393325888023
slice0,slice0_original_glrlm_LongRunLowGrayLevelEmphasis,0.0036679682215773612
slice0,slice0_original_glszm_LargeAreaHighGrayLevelEmphasis,0.0034792735797674534
slice0,slice0_original_ngtdm_Complexity,0.00346571338599438
slice0,slice0_original_glrlm_RunVariance,0.0034075611087490544
slice0,slice0_original_glszm_ZoneVariance,0.002645183857536284
slice0,slice0_original_gldm_DependenceNonUniformityNormalized,0.0026030980606259525
slice0,slice0_original_glrlm_LongRunHighGrayLevelEmphasis,0.0025248553450636165
slice0,slice0_original_firstorder_90Percentile,0.002446047689510548
slice0,slice0_original_gldm_LargeDependenceLowGrayLevelEmphasis,0.002443162378023731
slice0,slice0_original_firstorder_Kurtosis,0.002305370426008051
slice0,slice0_original_gldm_SmallDependenceLowGrayLevelEmphasis,0.002304914614877902
slice0,slice0_original_glszm_SmallAreaLowGrayLevelEmphasis,0.0019819762943296595
slice0,slice0_original_shape2D_MinorAxisLength,0.0018418131907991047
slice0,slice0_original_glszm_HighGrayLevelZoneEmphasis,0.00173744284470499
slice0,slice0_original_glcm_MCC,0.0017210775396585372
slice0,slice0_original_firstorder_Uniformity,0.0014848978135124135
slice0,slice0_original_gldm_DependenceNonUniformity,0.0014720860328983495
slice0,slice0_original_shape2D_Elongation,0.0014416322228348443
slice0,slice0_original_firstorder_Range,0.0014086619947719695
slice0,slice0_original_shape2D_MaximumDiameter,0.0013844417224652356
slice0,slice0_original_gldm_DependenceVariance,0.0013018636277536708
slice0,slice0_original_gldm_GrayLevelNonUniformity,0.0012728227337016006
slice0,slice0_original_glcm_Autocorrelation,0.0012490943828743436
slice0,slice0_original_glcm_InverseVariance,0.0012409027029005322
slice0,slice0_original_glrlm_GrayLevelNonUniformity,0.0012142626720959978
slice0,slice0_original_glrlm_ShortRunLowGrayLevelEmphasis,0.001160406798541135
slice0,slice0_original_firstorder_Mean,0.0011577878259114356
slice0,slice0_original_firstorder_InterquartileRange,0.0011564502699424562
slice0,slice0_original_ngtdm_Strength,0.001098913484064278
slice0,slice0_original_firstorder_Energy,0.0010908665812373317
